"species" "yearbirth" "littersizebirth" "littersizeweaning" "sexratiobirth" "sexratioweaning" "survlitter48h" "survlitterweaning" "survlittersexmat" "agedam" "agemaxdam" "agesire" "agemaxsire"
"283" "Vrubra" 1977 3 2 0.333333333333333 0.5 0.666666666666667 0.666666666666667 0.666666666666667 4 22.65 9 21.26
"284" "Vrubra" 2001 1 0 1 NA 0 0 0 13 15.81 11 21.28
"285" "Vrubra" 1996 2 0 1 NA 0.5 0 0 5 20.6 4 23.63
"286" "Vrubra" 1986 3 2 1 1 0.666666666666667 0.666666666666667 0.666666666666667 4 6.79 2 14.25
"287" "Vrubra" 2004 3 3 1 1 1 1 1 15 26.74 16 27.75
"288" "Vrubra" 2005 3 0 0.666666666666667 NA 0.666666666666667 0 0 5 8.62 12 15.42
"289" "Vrubra" 2004 1 1 1 1 1 1 1 17 28.52 10 21.7
"290" "Vrubra" 2014 2 0 0 NA 1 0 0 5 6.76 14 15.7
"291" "Vrubra" 1984 1 1 1 1 1 1 1 2 5.75 3 22
"292" "Vrubra" 2000 1 1 0 0 1 1 1 3 18.63 10 21.04
"293" "Vrubra" 2010 2 2 0 0 1 1 1 3 8.74 3 8.64
"294" "Vrubra" 2000 2 2 0.5 0.5 1 1 1 6 10.16 7 15.42
"295" "Vrubra" 1999 2 0 1 NA 1 0 0 5 10.16 6 15.42
"296" "Vrubra" 2008 2 0 0 NA 1 0 0 5 12.61 3 10.64
"297" "Vrubra" 2000 2 1 1 1 1 0.5 0.5 3 18.73 3 11.96
"298" "Vrubra" 1987 2 2 1 1 1 1 1 3 22.03 4 4.24
"299" "Vrubra" 1987 2 2 0.5 0.5 1 1 1 3 18.65 5 14.64
"300" "Vrubra" 1983 1 1 1 1 1 1 1 2 10.95 8 20.13
"301" "Vrubra" 1989 2 2 0.5 0.5 1 1 1 7 30.42 11 34.51
"302" "Vrubra" 1998 2 2 0 0 1 1 1 4 21.73 6 23.7
"303" "Vrubra" 1994 3 2 1 1 1 0.666666666666667 0.666666666666667 8 29.72 5 26.71
"304" "Vrubra" 2005 4 2 0.25 0.5 0.5 0.5 0.5 5 11.89 15 21.28
